Country,Year,Wind_Energy,Hydro_Energy,Solar_Energy,Other_Energy,Total_Energy,GDP_USD,GDP_per_capita_USD,
Iceland,2020,0.01,13.16,0,5.96,19.13,21718075725,59264.03409,
India,2020,60.43,163.64,58.68,32.098,314.848,2.67E+12,1933.101069,
Indonesia,2020,0.47,19.45,0.05,15.882,35.852,1.06E+12,3870.55762,
Iran,2020,0.56,27.7,0.44,0.02,28.72,2.32E+11,2756.749977,
Iraq,2020,0,1.8,0.06,0,1.86,1.84E+11,4583.747494,
Ireland,2020,11.55,0.93,0.06,0.94,13.48,4.26E+11,85422.54287,
Israel,2020,0.23,0.02,4.07,0.1,4.42,4.07E+11,44177.57122,
Italy,2020,18.76,47.55,24.94,25.65,116.9,1.89E+12,31834.97262,
Jamaica,2020,0.27,0.16,0.05,0.13,0.61,13812425037,4664.530242,
Japan,2020,8.65,89.17,78.64,54.98,231.44,5.04E+12,39918.16756,
Jordan,2020,0.88,0.03,2.2,0.06,3.17,43697659296,4282.765825,
Kazakhstan,2020,1.14,9.8,2.57,0.005,13.515,1.71E+11,9121.637138,
Kenya,2020,1.16,3.52,0.11,5.11,9.9,1.01E+11,1872.124026,
Kiribati,2020,0,0,0,0,0,180911843.6,1514.591059,
Kosovo,2020,0.09,0.26,0.01,0,0.36,7716925356,4310.811183,
Kuwait,2020,0.04,0,0.02,0,0.06,1.06E+11,24811.76971,
Kyrgyzstan,2020,0,14.8,0,0,14.8,7780874537,1182.5217,
Laos,2020,0,19.2,0.04,0.22,19.46,18981800705,2608.982833,
Latvia,2020,0.18,2.6,0,0.86,3.64,33645460617,17703.95344,
Lebanon,2020,0.01,0.97,0.09,0.06,1.13,25948915861,3801.792743,
Lesotho,2020,0,0.5,0,0,0.5,2250717718,1050.631634,
Liberia,2020,0,0.53,0,0,0.53,3039982540,601.0630058,
Libya,2020,0,0,0.01,0,0.01,52320215472,7614.325449,
Lithuania,2020,1.55,0.3,0.13,0.59,2.57,56546957475,20232.30204,
Luxembourg,2020,0.35,0.09,0.16,0.37,0.97,73353132794,116356.158,
Macao,2020,0,0,0,0,0,25586111076,39403.13591,
Madagascar,2020,0,0.81,0.02,0,0.83,13225591804,477.6130414,
Malawi,2020,0,1.3,0.05,0.02,1.37,12172128470,636.2863096,
Malaysia,2020,0,15.8,1,1.78,18.58,3.37E+11,10412.34767,
Maldives,2020,0,0,0,0,0,3742769967,6924.105745,
Mali,2020,0,0.95,0.03,0.19,1.17,17465392779,862.453012,
Malta,2020,0,0,0.21,0.01,0.22,14917038504,28946.46268,
Mauritania,2020,0.12,0.21,0.14,0,0.47,7915985514,1702.486959,
Mauritius,2020,0.02,0.1,0.15,0.33,0.6,10926820603,8632.752859,
Mexico,2020,19.7,23.12,13.53,16.41,72.76,1.09E+12,8431.665017,
Moldova,2020,0.05,0.2,0,0.01,0.26,11859730544,4525.759654,
Mongolia,2020,0.55,0.09,0.09,0,0.73,13312981595,4060.950518,
Morocco,2020,4.59,1.55,0.38,0.04,6.56,1.15E+11,3058.69165,
Mozambique,2020,0,14.17,0.04,0.14,14.35,14028811072,448.8438914,
Myanmar,2020,0,11,0.02,0.32,11.34,78930257227,1450.662673,
Namibia,2020,0,0.95,0.05,0,1,10562637376,4157.019506,
Nepal,2020,0.01,3,0.08,0,3.09,33433670512,1147.471971,
Netherlands,2020,15.34,0.05,8.77,8.85,33.01,9.14E+11,52396.03221,
New Caledonia,2020,0.05,0.22,0,0,0.27,9435529927,34694.5504,
New Zealand,2020,2.3,23.98,0.16,8.81,35.25,2.12E+11,41596.5055,
Nicaragua,2020,0.73,0.57,0.02,1.31,2.63,12586941393,1900.043594,
Niger,2020,0,0,0.02,0,0.02,13741378450,567.6698923,
Nigeria,2020,0,6.1,0.04,0.02,6.16,4.32E+11,2097.092473,
North Korea,2020,0,12.2,0.02,0,12.22,,,
Macedonia,2020,0.12,1.28,0.02,0.06,1.48,12116981815,5846.465899,
Norway,2020,9.91,140.93,0.03,0.24,151.11,3.62E+11,67329.67779,
Oman,2020,0,0,0,0,0,73971391417,14485.38612,
Pakistan,2020,3.3,37.38,1.2,1.18,43.06,3.00E+11,1359.514522,
Panama,2020,0.7,7.25,0.3,0.08,8.33,53977037000,12509.83529,
Papua New Guinea,2020,0,0.8,0,0.08,0.88,24667052023,2757.011019,
Paraguay,2020,0,49.34,0,0,49.34,35432178068,4967.687212,
Peru,2020,1.81,29.04,0.8,0.53,32.18,2.02E+11,6117.493571,
Philippines,2020,1.05,7.79,1.25,12.71,22.8,3.62E+11,3301.218603,
Poland,2020,15.8,2.12,1.96,8.35,28.23,5.97E+11,15742.45373,
Portugal,2020,12.3,12.08,1.72,4.01,30.11,2.29E+11,22194.56611,
Puerto Rico,2020,2.5,0.05,0.25,0.01,2.81,1.03E+11,31429.86612,
Qatar,2020,0,0,0.01,0.03,0.04,1.44E+11,50124.38594,
Romania,2020,6.95,15.38,1.73,0.55,24.61,2.50E+11,12956.56625,
Russia,2020,1.14,196,1.86,0.9,199.9,1.49E+12,10161.98242,
Rwanda,2020,0,0.45,0.05,0.01,0.51,10184345442,786.3018148,
Saint Kitts and Nevis,2020,0.01,0,0,0,0.01,980905888.9,18440.85368,
Saint Lucia,2020,0,0,0,0,0,1616772748,8804.561089,
Saint Vincent and the Grenadines,2020,0,0.04,0,0,0.04,872134546.8,7860.821354,
Samoa,2020,0,0.04,0,0.01,0.05,807147527.6,4068.078865,
Sao Tome and Principe,2020,0,0.01,0,0,0.01,472914469.9,2157.840446,
Saudi Arabia,2020,0,0,1.04,0,1.04,7.03E+11,20203.66888,
Senegal,2020,0.02,0.31,0.3,0.1,0.73,24493157583,1462.808169,
Serbia,2020,0.98,9.03,0.01,0.19,10.21,53335016425,7730.691746,
Seychelles,2020,0,0,0,0,0,1200634489,12193.88687,
Sierra Leone,2020,0,0.18,0.01,0,0.19,4063289450,509.376594,
Singapore,2020,0,0,0.62,0.41,1.03,3.45E+11,60729.45035,
Slovakia,2020,0,4.61,0.66,1.67,6.94,1.05E+11,19266.51357,
Slovenia,2020,0.01,4.93,0.37,0.27,5.58,53589609581,25489.50023,
Solomon Islands,2020,0,0,0,0,0,1545888426,2250.601164,
Somalia,2020,0.01,0,0.01,0,0.02,6965285325,438.2551656,
South Africa,2020,5.94,5.67,3.6,0.41,15.62,3.35E+11,5655.867654,
South Korea,2020,3.15,7.1,18.25,20.42,48.92,1.64E+12,31597.50465,
South Sudan,2020,0,0,0,0,0,11997800760,1119.651437,
Spain,2020,56.44,30.51,20.67,6.17,113.79,1.28E+12,27056.42175,
Sri Lanka,2020,0.35,4.9,0.11,0.25,5.61,80969683537,3694.040948,
Sudan,2020,0,7.75,0.02,0.71,8.48,26987563444,615.4620972,
Suriname,2020,0,1.36,0.01,0,1.37,2884248048,4916.605666,
Sweden,2020,27.53,72.39,1.05,11.18,112.15,5.41E+11,52300.2062,
Switzerland,2020,0.14,40.62,2.52,0.21,43.49,7.52E+11,87100.41482,
Syria,2020,0,0.75,0,0.01,0.76,21445775364,1265.60619,
Taiwan,2020,2.42,6.18,6.09,1.96,16.65,6.73E+11,28571.50618,"23,561,236"
Tajikistan,2020,0,17,0,0,17,8133996648,852.8309878,
Tanzania,2020,0,2.35,0.09,0.57,3.01,62409709111,1076.469727,
Thailand,2020,3.08,4.54,4.93,13.61,26.16,5.00E+11,7158.766684,
Togo,2020,0,0.09,0,0,0.09,7574636979,914.9507925,
Tonga,2020,0,0,0,0,0,488829964.1,4624.823449,
Trinidad and Tobago,2020,0,0,0,0.02,0.02,21392536138,15285.94049,
Tunisia,2020,0.5,0.06,0.25,0,0.81,42514151614,3597.218525,
Turkey,2020,24.83,78.09,10.95,14.47,128.34,7.20E+11,8536.43332,
Turkmenistan,2020,0,0,0,0,0,45231428571,7612.03518,
Turks and Caicos Islands,2020,0,0,0,0,0,924583000,23879.92665,
Uganda,2020,0,4.03,0.07,0.28,4.38,37600368181,822.0276815,
Ukraine,2020,3.27,7.56,5.97,0.76,17.56,1.57E+11,3751.740723,
United Arab Emirates,2020,0,0,3.78,0.01,3.79,3.59E+11,36284.55524,
United Kingdom,2020,73.83,6.69,13.32,38.11,131.95,2.76E+12,41098.07865,
United States,2020,337.94,279.95,130.72,70.59,819.2,2.09E+13,63027.67953,
United States Virgin Islands,2020,0,0,0.01,0,0.01,4204000000,39552.1686,
Uruguay,2020,5.44,3.95,0.46,0.88,10.73,53560755047,15418.81531,
Uzbekistan,2020,0,6.9,0.01,0,6.91,59894305353,1749.655815,
Vanuatu,2020,0,0,0.01,0.01,0.02,896827873.1,2919.8368,
Venezuela,2020,0.09,72,0.01,0,72.1,4.82E+11,16055.64532,
Vietnam,2020,0.72,51.98,4.9,0,57.6,3.43E+11,3526.274579,
Yemen,2020,0,0,0.5,0,0.5,18840511908,631.68149,
Zambia,2020,0,13.67,0.15,0.16,13.98,18110631358,985.132436,
Zimbabwe,2020,0,7.26,0.01,0.38,7.65,18051170799,1214.50982,
